zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
50259;Abt-Aemilius-Straße;1;55;2;22;Brauweiler;21.0;;;
50259;Abteigasse;1;1;;;Brauweiler;19.0;;;
50259;Achatweg;1;5;2;20;Pulheim;14.0;;;
50259;Adamistraße;1;19;4;18;Brauweiler;19.0;;;
50259;Adlerweg;1;23;2;14;Pulheim;09.0;;;
50259;Adolph-Kolping-Straße;1;31;2;34;Pulheim;14.0;;;
50259;Adolph-von-Menzel-Straße;1;93;2;48;Pulheim;12.0;;;
50259;Aggerstraße;7;11;20;32;Sinnersdorf;01.0;;;
50259;Agnesstraße;1;1;2;6;Sinnersdorf;03.0;;;
50259;Ahornweg;3;17;2;12;Pulheim;14.0;;;
50259;Akazienweg;1;7;;;Pulheim;14.0;;;
50259;Albanstraße;3;29;2;40;Geyen;17.0;;;
50259;Albatrosweg;1;23;2;36;Pulheim;09.0;;;
50259;Alberichstraße;1;7;2;20;Geyen;17.0;;;
50259;Albert-Einstein-Straße;1;33;2;12;Brauweiler;20.0;;;
50259;Albert-Schweitzer-Straße;3;5;2;14;Pulheim;13.0;;;
50259;Albrecht-Dürer-Straße;1;97;2;136;Pulheim;12.0;;;
50259;Alfred-Nobel-Straße;;;10;10;Brauweiler;21.0;;;
50259;Alte Kirchstraße;1;37;6;44;Dansweiler;23.0;;;
50259;Alte Kölner Straße;5;39;0;56;Pulheim;08.0;;;
50259;Am Angelsdorn;3;93;2;30;Pulheim;08.0;;;
50259;Am Bach;3;15;2;16;Stommeln;04.2;;;
50259;Am Bahnhof;;;4;6;Pulheim;08.0;;;
50259;Am Beller Weg;1;67;0;20;Dansweiler;23.0;;;
50259;Am Bendacker;1;7;4;8;Pulheim;16.0;;;
50259;Am Bergerhof;1;47;2;68;Brauweiler;22.0;;;
50259;Am Birkengraben;1;9;2;14;Sinthern;18.0;;;
50259;Am Blauen Stein;1;9;2;10;Dansweiler;23.0;;;
50259;Am Bodethof;1;17;4;26;Sinthern;18.0;;;
50259;Am Brauweiler Pfädchen;;;8;8;Sinthern;18.0;;;
50259;Am Briemengarten;3;39;6;56;Sinnersdorf;01.0;;;
50259;Am Brunnen;1;7;2;6;Pulheim;16.0;;;
50259;Am Brölskamp;3;33;2;34;Stommeln;05.0;;;
50259;Am Domhof;1;15;2;34;Geyen;17.0;;;
50259;Am Domkreuz;1;29;2;28;Geyen;17.0;;;
50259;Am Dörnchesweg;1;21;2;42;Dansweiler;23.0;;;
50259;Am Eggershof;1;23;2;52;Sinnersdorf;02.0;;;
50259;Am Escher Weg;1;61;4;16;Sinnersdorf;02.0;;;
50259;Am Forsthaus;3;27;2;18;Dansweiler;23.0;;;
50259;Am Fronhof;;;2;6;Sinthern;24.0;;;
50259;Am Graben;1;7;2;10;Dansweiler;23.0;;;
50259;Am Grünen Weg;1;23;2;66;Dansweiler;23.0;;;
50259;Am Holländer;1;31;2;32;Stommeln;07.0;;;
50259;Am Hoppeberg;1;13;2;18;Sinthern;18.0;;;
50259;Am Jürgenshof;;;4;8;Pulheim;11.0;;;
50259;Am Kirchberg;1;5;2;10;Pulheim;16.0;;;
50259;Am Kleekamp;5;13;2;12;Pulheim;15.0;;;
50259;Am Kleekamp;17;33;;;Pulheim;16.0;;;
50259;Am Klosterhof;3;21;2;30;Brauweiler;21.0;;;
50259;Am Lerchenhang;1;33;2;10;Pulheim;16.0;;;
50259;Am Lindenkreuz;1;39;2;28;Pulheim;16.0;;;
50259;Am Mahlweiher;1;7;2;8;Geyen;24.0;;;
50259;Am Mühlenacker;1;75;2;100;Brauweiler;22.0;;;
50259;Am Pfarrgarten;1;7;;;Stommeln;06.0;;;
50259;Am Quechenhauf;1;35;2;24;Brauweiler;20.0;;;
50259;Am Rosenhügel;1;23;2;32;Pulheim;16.0;;;
50259;Am Rosenthal;1;13;2;38;Geyen;17.0;;;
