zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
57078;Abendröthe;1;25;2;28;Birlenbach;0013;;;148
57072;Achenbacher Furt;1;93;24;88;Siegen;0123;;;148
57072;Achenbacher Straße;115;231;110;202;Siegen;0123;;;148
57072;Achenbacher Straße;15;57;8;40;Siegen;0132;;;148
57072;Achenbacher Straße;273;371;;;Siegen;0122;;;148
57076;Ackerstraße;3;3;2;26;Weidenau;0102;;;148
57078;Adalbert-Stifter-Weg;13;19;;;Geisweid;0032;;;148
57078;Adlerstraße;3;25;4;24;Geisweid;0023;;;148
57076;Adolf-Reichwein-Str.;5;17;10;10;Weidenau;0072;;;148
57078;Adolf-Saenger-Straße;1;39;2;32;Geisweid;0023;;;148
57074;Adolf-Wagner-Straße;1;15;;;Siegen;0173;;;148
57078;Adolf-Wurmbach-Str.;1;59;2;58;Geisweid;0042;;;148
57074;Adolfstraße;5;19;8;20;Siegen;0211;;;148
57074;Agnesenhof;1;15;2;12;Siegen;0182;;;148
57074;Ahornweg;1;11;;;Siegen;0182;;;148
57078;Akazienweg;1;19;2;28;Geisweid;0022;;;148
57078;Akeleiweg;1;1;;;Geisweid;0042;;;148
57078;Albert-Nöll-Straße;3;85;2;84;Geisweid;0051;;;148
57074;Albert-Richartz-Str.;1;77;2;48;Siegen;0182;;;148
57080;Albert-Schweitzer-Str.;1;11;2;12;Niederschelden;0261;;;148
57076;Albertstraße;9;11;2;10;Weidenau;0093;;;148
57072;Albertus-Magnus-Str.;1;17;6;18;Siegen;0151;;;148
57078;Albichweg;5;5;4;4;Geisweid;0051;;;148
57076;Albrecht-Dürer-Str.;;;2;18;Weidenau;0072;;;148
57072;Alcher Straße;51;57;;;Seelbach;0112;;;148
57080;Alfred-Delp-Straße;7;13;2;18;Niederschelden;0262;;;148
57072;Allensteiner Straße;21;23;16;22;Siegen;0133;;;148
57080;Alte Eisenstraße;;;2;6;Niederschelden;0262;;;148
57072;Alte Poststraße;3;21;6;32;Siegen;0161;;;148
57080;Alte-Dreisbach-Str.;3;55;4;34;Niederschelden;0262;;;148
57074;Altenhof;1;45;;;Siegen;0162;;;148
57074;Alter Wassergang;1;29;2;34;Bürbach;0223;;;148
57078;Am Altenberg;19;53;4;14;Langenholdinghausen;0012;;;148
57080;Am Anger;1;11;4;6;Niederschelden;0252;;;148
57074;Am Arnold;13;41;4;36;Kaan-Marienborn;0232;;;148
57072;Am Bahnhof;11;23;4;4;Siegen;0152;;;148
57072;Am Bastenberg;1;41;2;20;Trupbach;0111;;;148
57078;Am Bauhof;5;9;2;10;Geisweid;0042;;;148
57080;Am Bienenhang;5;17;8;18;Oberschelden;0241;;;148
57074;Am Bill;3;3;4;4;Bürbach;0223;;;148
57080;Am Brandweiher;1;1;4;14;Eisern;0293;;;148
57080;Am Brüderbund;15;19;2;22;Eiserfeld;0291;;;148
57074;Am Brünkel;1;29;2;28;Kaan-Marienborn;0232;;;148
57074;Am Buxbaum;1;27;4;20;Siegen;0182;;;148
57072;Am Cronewaldstollen;5;9;4;12;Siegen;0122;;;148
57080;Am Dreesch;1;5;4;4;Eiserfeld;0263;;;148
57072;Am Ehrenmal;5;15;2;10;Seelbach;0112;;;148
57078;Am Eibel;5;9;;;Langenholdinghausen;0012;;;148
57076;Am Eichenhang;21;67;22;66;Weidenau;0072;;;148
57080;Am Eichert;1;27;2;32;Niederschelden;0262;;;148
57080;Am Eichert;39;57;36;70;Siegen;0124;;;148
57080;Am Eichert;55A;55A;;;Siegen;0262;;;148
57080;Am Eichholz;1;1;2;10;Eisern;0293;;;148
57080;Am Eisernbach;;;8;10;Eiserfeld;0272;;;148
57080;Am Eisernen Keil;1;35;2;32;Niederschelden;0243;;;148
57074;Am Ellenberg;3;41;2;44;Kaan-Marienborn;0232;;;148
57080;Am Felsen;7;15;10;10;Eiserfeld;0281;;;148
57072;Am Fichtenhang;9;13;6;16;Siegen;0131;;;148
57080;Am Findling;1;9;;;Gosenbach;0242;;;148
57076;Am Fr.-Flender-Platz;;;4;6;Weidenau;0093;;;148
57080;Am Freibad;5;9;4;4;Eiserfeld;0281;;;148
57074;Am Galgenberg;9;13;2;34;Siegen;0212;;;148
57080;Am Gensberge;1;5;2;12;Eisern;0293;;;148
57080;Am Gewende;1;15;2;16;Oberschelden;0241;;;148
57080;Am Ginsterhang;5;83;4;128;Siegen;0124;;;148
57078;Am Grünen Hang;1;49;4;52;Geisweid;0062;;;148
57080;Am Grünen Löwen;1;25;2;20;Gosenbach;0243;;;148
57074;Am Hamerich;1;5;2;32;Siegen;0192;;;148
57072;Am Hang;;;2;10;Siegen;0142;;;148
57074;Am Hasengarten;5;25;4;18;Volnsberg;0233;;;148
57078;Am Heiligen;1;5;4;4;Meiswinkel;0011;;;148
57080;Am Hengsberg;1;41;2;28;Eiserfeld;0271;;;148
57076;Am Hirschberg;1;29;6;30;Weidenau;0102;;;148
57078;Am Hochwald;5;5;2;12;Sohlbach;0021;;;148
57078;Am Hochwald;11;13;;;Buchen;0021;;;148
57080;Am Honigsmund;1;45;4;42;Gosenbach;0243;;;148
57080;Am Honigsmund;;;62;62;Gosenbach;0243;;;148
57080;Am Honigsmund;47;47;46;59;Niederschelden;0243;;;148
57080;Am Hubenwald;1;11;2;12;Niederschelden;0251;;;148
57074;Am Hümberg;1;1;;;Volnsberg;0233;;;148
57078;Am Hüttengraben;11;11;16;16;Geisweid;0061;;;148
57080;Am Johannesberg;23;37;2;42;Gosenbach;0242;;;148
57076;Am Johannesseifen;1;49;2;28;Weidenau;0101;;;148
57074;Am Jähen Hain;5;13;2;2;Siegen;0211;;;148
57078;Am Kindergarten;;;6;6;Geisweid;0052;;;148
57078;Am Kirrberg;3;7;4;28;Langenholdinghausen;0012;;;148
57078;Am Kirschenbäumchen;15;29;6;50;Birlenbach;0013;;;148
57078;Am Klafelder Markt;1;13;4;18;Geisweid;0043;;;148
57078;Am Kopf;1;29;2;32;Geisweid;0052;;;148
57076;Am Kornberg;19;107;2;106;Weidenau;0082;;;148
57080;Am Kramerhof;1;1;2;6;Eisern;0293;;;148
57072;Am Kulmberg;1;17;10;18;Siegen;0131;;;148
57072;Am Köppel;1;53;4;56;Seelbach;0112;;;148
57074;Am Langen;1;47;2;56;Kaan-Marienborn;0232;;;148
57074;Am Lausbecher;1;45;10;36;Siegen;0201;;;148
57078;Am Lehnhof;5;37;;;Birlenbach;0013;;;148
57074;Am Lohgraben;;;30;30;Siegen;0191;;;148
57074;Am Lohgraben;1;65;8;10;Siegen;0161;;;148
57074;Am Mittelberg;17;19;14;20;Kaan-Marienborn;0192;;;148
57078;Am Mühlenberg;11;25;6;24;Langenholdinghausen;0014;;;148
57076;Am Mühlenseifen;1;31;2;36;Weidenau;0102;;;148
57072;Am Mühlenseifen;41;61;38;48;Siegen;0221;;;148
57080;Am Neuen Feld;5;7;2;18;Eiserfeld;0282;;;148
57074;Am Nochen;1;21;6;18;Kaan-Marienborn;0231;;;148
57076;Am Nordstern;11;47;8;42;Weidenau;0071;;;148
57078;Am Nöchel;1;7;4;12;Birlenbach;0013;;;148
57072;Am Nörchen;;;4;6;Seelbach;0112;;;148
57074;Am Rain;1;15;2;2;Kaan-Marienborn;0231;;;148
57080;Am Richerfeld;;;8;10;Eiserfeld;0282;;;148
57080;Am Rosengarten;9;9;2;4;Gosenbach;0243;;;148
57080;Am Rosengarten;11;61;8;58;Niederschelden;0243;;;148
57080;Am Rothenberg;3;67;8;64;Siegen;0124;;;148
57078;Am Rückelchen;1;15;2;20;Geisweid;0022;;;148
57078;Am Sammetshain;1;55;2;48;Geisweid;0052;;;148
57074;Am Schieferberg;5;21;6;14;Siegen;0181;;;148
57072;Am Schimmel;1;7;2;2;Trupbach;0111;;;148
57080;Am Schlangenwald;1;31;2;16;Eisern;0293;;;148
57080;Am Schlehdorn;1;1;2;10;Eiserfeld;0271;;;148
57074;Am Schleifmühlchen;;;2;6;Siegen;0191;;;148
57080;Am Schmiedeberg;1;19;2;28;Gosenbach;0243;;;148
57080;Am Schmittenberg;1;3;6;10;Oberschelden;0241;;;148
57076;Am Schneppenberg;1;11;2;16;Weidenau;0071;;;148
57074;Am Schwarzen Barth;7;87;2;98;Siegen;0192;;;148
57080;Am Schönen Berg;1;11;4;20;Gosenbach;0243;;;148
57072;Am Sender;11;15;32;36;Siegen;0221;;;148
57080;Am Siegdamm;5;5;2;8;Niederschelden;0252;;;148
57080;Am Siegenberg;1;15;2;26;Oberschelden;0241;;;148
57080;Am Siegenstein;3;65;2;66;Eiserfeld;0282;;;148
57072;Am Siegsteg;5;5;4;4;Siegen;0152;;;148
57078;Am Sohlbach;5;5;2;34;Geisweid;0042;;;148
57078;Am Sonnenhang;1;19;2;24;Birlenbach;0013;;;148
57080;Am Spies;1;25;2;36;Eiserfeld;0291;;;148
57078;Am Sportplatz;1;9;2;10;Geisweid;0052;;;148
57072;Am Stadtwald;1;49;2;48;Siegen;0131;;;148
57080;Am Stein;3;81;2;88;Gosenbach;0242;;;148
57078;Am Steinbruch;1;13;4;8;Geisweid;0061;;;148
57074;Am Steinwald;13;19;;;Breitenbach;0234;;;148
57072;Am Südhang;11;37;14;14;Siegen;0132;;;148
57080;Am Tiefbau;3;17;10;10;Eisern;0292;;;148
57080;Am Tredenberg;1;15;2;20;Oberschelden;0241;;;148
57076;Am Ufer;1;13;12;24;Weidenau;0091;;;148
57076;Am Vogelsang;1;55;2;74;Weidenau;0101;;;148
57080;Am Weinberg;1;15;2;34;Eiserfeld;0282;;;148
57078;Am Wiesenhang;1;7;2;8;Buchen;0021;;;148
57080;Am Winkel;1;43;4;48;Oberschelden;0241;;;148
57080;Am Winterberg;3;9;4;6;Oberschelden;0241;;;148
57072;Am Witschert;15;39;8;34;Siegen;0123;;;148
57072;Am Wurmberg;1;9;2;16;Trupbach;0111;;;148
57078;Am Wäldchen;5;9;4;14;Geisweid;0022;;;148
57072;Am Ziegenberg;1;19;;;Siegen;0132;;;148
57078;Am Zäunchen;5;23;6;24;Birlenbach;0013;;;148
57072;Am alten Friedhof;;;2;2;Siegen;0162;;;148
57072;Am alten Stadtplatz;;;6;6;Siegen;0132;;;148
57078;Am hohen Feld;1;15;;;Buchen;0021;;;148
57078;Am hohen Rain;9;15;10;10;Geisweid;0031;;;148
57078;Am hohen Rain;5;7;2;8;Geisweid;0032;;;148
57076;Amalienstraße;;;8;14;Weidenau;0071;;;148
57074;Amselhof;1;3;2;10;Kaan-Marienborn;0232;;;148
57078;Amselweg;1;13;2;14;Geisweid;0051;;;148
57078;An den Weiden;1;17;6;6;Birlenbach;0013;;;148
57078;An den Weiden;43;61;;;Langenholdinghausen;0012;;;148
57072;An den drei Pfosten;33;45;4;84;Siegen;0131;;;148
57072;An der Alche;5;33;;;Siegen;0131;;;148
57072;An der Allee;3;21;2;22;Siegen;0143;;;148
57080;An der Dampfmühle;1;15;2;6;Niederschelden;0252;;;148
57076;An der Höh;1;15;2;18;Weidenau;0071;;;148
57074;An der Mocke;1;9;;;Kaan-Marienborn;0232;;;148
57078;An der Setze;1;7;2;6;Obersetzen;0033;;;148
57080;An der Siegtalbrücke;;;2;22;Eiserfeld;0271;;;148
57074;An der Sommerseite;21;21;30;30;Siegen;0182;;;148
57080;An der Steinlücke;1;35;2;40;Eiserfeld;0281;;;148
57078;An der Talkirche;1;11;6;8;Geisweid;0043;;;148
57072;An der Unterführung;;;8;22;Siegen;0131;;;148
57072;An der Waldschmiede;7;7;6;10;Siegen;0123;;;148
57076;Andreas-Schlüter-Str.;;;4;30;Weidenau;0072;;;148
57076;Anemonenweg;1;3;2;4;Weidenau;0083;;;148
57074;Anna-Helenen-Straße;1;11;6;8;Siegen;0211;;;148
57074;Anton-Delius-Straße;1;69;2;62;Siegen;0182;;;148
57080;Arbeitsschlade;3;3;6;10;Oberschelden;0241;;;148
57072;Arndtstraße;15;21;8;14;Siegen;0141;;;148
57072;Arnsbacher Weg;7;43;6;32;Seelbach;0112;;;148
57074;Assbergstraße;17;17;;;Breitenbach;0234;;;148
57080;Asselbachswald;3;3;2;10;Oberschelden;0241;;;148
57078;Asternweg;1;15;2;10;Geisweid;0042;;;148
57078;Auf dem Bruch;1;43;2;40;Langenholdinghausen;0012;;;148
57080;Auf dem Groben;1;1;2;8;Eisern;0293;;;148
57074;Auf dem Grümmel;1;19;4;22;Bürbach;0223;;;148
57076;Auf dem Mühlengraben;3;11;8;12;Weidenau;0091;;;148
57072;Auf dem Sand;1;11;;;Siegen;0152;;;148
57076;Auf dem Stein;1;23;26;40;Weidenau;0081;;;148
57074;Auf dem Tillmes;;;6;6;Breitenbach;0234;;;148
57080;Auf den Feldern;13;13;2;14;Eisern;0293;;;148
57076;Auf den Hütten;3;3;2;32;Weidenau;0093;;;148
57080;Auf der Alm;1;39;2;52;Gosenbach;0242;;;148
57072;Auf der Aue;11;21;2;16;Seelbach;0112;;;148
57080;Auf der Burg;1;19;2;32;Niederschelden;0252;;;148
57080;Auf der Gasse;1;53;4;58;Eiserfeld;0281;;;148
57074;Auf der Hohenfuhr;1;39;2;46;Siegen;0192;;;148
57072;Auf der Höh;5;47;2;42;Seelbach;0112;;;148
57074;Auf der Kohlbraas;5;15;2;16;Kaan-Marienborn;0232;;;148
57080;Auf der Kunst;1;25;2;28;Gosenbach;0243;;;148
57074;Auf der Ley;15;25;2;22;Kaan-Marienborn;0232;;;148
57074;Auf der Maibras;1;17;;;Siegen;0211;;;148
57076;Auf der Meinhardt;1;69;4;90;Weidenau;0081;;;148
57072;Auf der Schemscheid;29;31;22;60;Siegen;0132;;;148
57080;Auf der Schlade;3;9;2;6;Gosenbach;0242;;;148
57078;Auf der Schläfe;1;3;4;4;Geisweid;0042;;;148
57074;Auf der Wege;1;5;6;16;Bürbach;0223;;;148
57074;Auf der Wellersche;1;11;2;10;Siegen;0211;;;148
57074;Augärtenstraße;5;17;;;Kaan-Marienborn;0232;;;148
57076;Austraße;3;43;4;56;Weidenau;0093;;;148
57072;Axeswende;1;9;;;Siegen;0161;;;148
57076;Azaleenweg;1;13;2;12;Weidenau;0083;;;148
57078;Bachstraße;1;5;4;4;Geisweid;0042;;;148
57072;Backhausweg;;;6;24;Trupbach;0111;;;148
57072;Badstraße;1;5;8;16;Siegen;0152;;;148
57076;Bahnhof Weidenau;7;7;;;Weidenau;0092;;;148
57072;Bahnhofstraße;1;27;16;24;Siegen;0152;;;148
57078;Bahnstraße;15;19;4;22;Geisweid;0043;;;148
57076;Balthasar-Neumann-Weg;1;5;2;12;Weidenau;0072;;;148
57074;Banfer Weg;7;9;2;14;Siegen;0212;;;148
57076;Barbaraweg;3;17;12;12;Weidenau;0092;;;148
57072;Barstewende;1;1;6;6;Siegen;0162;;;148
57076;Batterieweg;1;11;2;20;Weidenau;0102;;;148
57076;Baumschulenweg;1;43;2;50;Weidenau;0082;;;148
57072;Baumstraße;9;11;10;14;Siegen;0143;;;148
57080;Beethovenstraße;1;47;2;44;Niederschelden;0262;;;148
57076;Begonienweg;1;7;2;6;Weidenau;0083;;;148
57072;Benzstraße;;;4;6;Siegen;0143;;;148
57080;Bergfriederstraße;1;23;4;20;Eisern;0293;;;148
57078;Berghofstraße;1;15;2;30;Meiswinkel;0011;;;148
57078;Bergkiefernweg;11;11;2;12;Langenholdinghausen;0012;;;148
57080;Bergmannsweg;3;49;6;50;Siegen;0124;;;148
57078;Bergstraße;1;111;6;112;Geisweid;0041;;;148
57072;Berleburger Straße;1;61;2;58;Siegen;0222;;;148
57072;Berliner Straße;39;39;40;40;Siegen;0171;;;148
57072;Bethausweg;;;2;2;Siegen;0171;;;148
57072;Bickenerwende;1;5;;;Siegen;0162;;;148
57072;Biedenkopfer Straße;1;33;2;40;Siegen;0222;;;148
57080;Bielfeld;1;33;2;22;Eiserfeld;0272;;;148
57078;Bilzestraße;1;27;2;4;Geisweid;0043;;;148
57076;Binnenweg;1;33;4;50;Weidenau;0101;;;148
57074;Birkenhof;1;1;2;2;Volnsberg;0233;;;148
57080;Birkenweg;1;77;2;76;Eiserfeld;0282;;;148
57078;Birlenbacher Hütte;;;4;18;Geisweid;0062;;;148
57078;Birlenbacher Straße;1;101;2;110;Geisweid;0061;;;148
57078;Birlenbacher Straße;131;131;;;Geisweid;0061;;;148
57078;Birlenbacher Straße;103;129;112;216;Birlenbach;0013;;;148
57078;Birlenbacher Straße;133;207;;;Birlenbach;0013;;;148
57078;Birlenbacher Straße;209;237;218;246;Langenholdinghausen;0012;;;148
57076;Bismarckstraße;1;77;2;80;Weidenau;0091;;;148
57072;Bismarckstraße;93;97;;;Siegen;0143;;;148
57072;Blauwunderstraße;1;13;6;10;Siegen;0142;;;148
57074;Bleichweg;;;14;40;Siegen;0211;;;148
57074;Blumenstraße;1;15;2;2;Siegen;0211;;;148
57074;Blumertsfeld;1;15;4;36;Kaan-Marienborn;0231;;;148
57072;Blücherstraße;3;67;2;68;Siegen;0141;;;148
57078;Bodelschwinghstraße;1;19;4;20;Geisweid;0042;;;148
57080;Bogenstraße;3;81;2;90;Niederschelden;0252;;;148
57080;Bonhoefferstraße;1;37;8;26;Niederschelden;0262;;;148
