vote_district_id;name;address_street;address_nr;address_nr_note;note;zip;full_address;district;barrier_free
0151;Nordschule 2 (Pavillon) Raum: 163;Nordstraße;30;;;57072;Siegen;;J
0082;Jung-Stilling-Schule 1 Raum: 111;Stockweg;85;;;57076;Siegen;;J
0071;DRK-Zentrum Siegen-Nord;Schneppenkauten;1;;;57076;Siegen;;J
0011;Feuerwehrgerätehaus Meiswinkel;Im Gäßchen;6;;;57078;Siegen;;J
0012;Alte Schule Langenholdinghausen;Fußfeld;12;;;57078;Siegen;;N
0013;Birlenbacher Schule;Am Nöchel;9;;;57078;Siegen;;J
0021;Feuerwehrgerätehaus Sohlbach-Buchen;Gutenbergstraße;98;;;57078;Siegen;;N
0022;Albert-Schweitzer-Schule 1 Raum: 125;Amselweg;14;;;57078;Siegen;;J
0023;Albert-Schweitzer-Schule 2 Raum: 124;Amselweg;14;;;57078;Siegen;;J
0062;Kindertagesstätte Oase Hüttental;Gerberstraße;2;;;57078;Siegen;;J
0032;Bürgerhaus Geisweid 1;Obere Kaiserstraße;6;;;57078;Siegen;;J
0033;Kapellenschule Obersetzen;Löhstraße;5;;;57078;Siegen;;J
0042;Feuerwehrgerätehaus Geisweid;Bachstraße;4;;;57078;Siegen;;J
0043;Rathaus Geisweid;Lindenplatz;7;;;57078;Siegen;;J
0052;Realschule Am Schießberg;Schießbergstraße;103;;;57078;Siegen;;J
0061;Jugendtreff Geisweid;Hüttenstraße;14;;;57078;Siegen;;N
0072;Ev. Kindertagesstätte Haardter Berg;Hans-Thoma-Weg;10;;;57076;Siegen;;J
0081;Friedrich-Flender-Schule;Engsbachstraße;6;;;57076;Siegen;;J
0091;Rathaus Weidenau;Weidenauer Straße;211;;;57076;Siegen;;J
0092;Bauhof Weidenau;Stockweg;7;;;57076;Siegen;;J
0093;Kindertreff Weidenau;Gärtnerstraße;24;;;57076;Siegen;;N
0102;Diakonische Altenhilfe Fliednerheim;Luisenstraße;15;;;57076;Siegen;;J
0111;Kapellenschule Trupbach;Trupbacher Straße;40;;;57072;Siegen;;N
0112;Bürgerhaus Seelbach;Freudenberger Straße;490;;;57072;Siegen;;J
0133;Ehem. Fischbacherbergschule 2 Raum: A 110;Gleiwitzer Straße;21;;;57072;Siegen;;J
0122;Feuerwehrgerätehaus Achenbach;Im Samelsfeld;57;;;57072;Siegen;;N
0123;Achenbacher Schule;Achenbacher Furt;7;;;57072;Siegen;;J
0124;Ehem. Dreisbachschule 1 Raum: 301 Eingang Beethovenstraße;Waldesruh;39;;;57080;Siegen;;J
0131;Berufskolleg Technik Foyer Trakt A;Fischbacherbergstraße;2;;;57072;Siegen;;J
0121;Ehem. Fischbacherbergschule 1 Raum: A 109;Gleiwitzer Straße;21;;;57072;Siegen;;J
0141;Obenstruthschule 1 Raum: 101;Obenstruthstraße;14;;;57072;Siegen;;N
