zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
52391;Akazienweg;1;17;2;16;Vettweiß;03.1;;;090
52391;Am Bachhof;3;7;;;Vettweiß;03.1;;;090
52391;Am Broich;1;7;2;6;Sievernich;14.1;;;090
52391;Am Burgacker;1;25;;;Lüxheim;10.1;;;090
52391;Am Eichbaum;1;11;2;16;Kelz;08.1;;;090
52391;Am Feldchen;3;3;4;4;Froitzheim;04.1;;;090
52391;Am Graben;1;27;12;24;Vettweiß;02.1;;;090
52391;Am Hallenacker;1;35;4;28;Disternich;13.1;;;090
52391;Am Hang;1;21;4;20;Froitzheim;04.1;;;090
52391;Am Heidegraben;1;21;2;12;Müddersheim;12.1;;;090
52391;Am Hilgerspfad;1;13;4;14;Vettweiß;03.1;;;090
52391;Am Juffernpesch;3;39;26;50;Vettweiß;02.1;;;090
52391;Am Karbuch;3;17;4;12;Disternich;13.1;;;090
52391;Am Kirchenfeld;1;1;;;Ginnick;05.1;;;090
52391;Am Lindchen;1;19;2;38;Gladbach;11.1;;;090
52391;Am Maar;3;3;2;8;Vettweiß;03.1;;;090
52391;Am Mönchhof;1;11;2;10;Soller;06.1;;;090
52391;Am Pesch;1;1;;;Froitzheim;04.1;;;090
52391;Am Pfaffenheck;;;0;0;Sievernich;14.1;;;090
52391;Am Pfarrhof;1;5;18;36;Froitzheim;04.1;;;090
52391;Am Regensbusch;1;27;2;36;Müddersheim;12.1;;;090
52391;Am Schild;3;23;2;20;Vettweiß;02.1;;;090
52391;Am Schnocksgraben;1;27;2;12;Froitzheim;04.1;;;090
52391;Am Schulgarten;1;7;2;2;Kelz;08.1;;;090
52391;Am Wolfsgraben;1;17;2;24;Soller;06.1;;;090
52391;Am Ziegelfeld;3;19;2;20;Soller;06.1;;;090
52391;Amandusstraße;1;75;2;70;Müddersheim;12.1;;;090
52391;Amselweg;3;25;2;36;Vettweiß;02.1;;;090
52391;An den Wiesen;1;29;8;26;Froitzheim;04.1;;;090
52391;An der Bahn;;;8;8;Vettweiß;01.1;;;090
52391;An der Dampfmühle;3;5;6;6;Vettweiß;01.1;;;090
52391;An der Grotte;7;7;2;10;Soller;06.1;;;090
52391;An der Kapelle;1;1;2;6;Lüxheim;10.1;;;090
52391;An der Sandkuhle;;;0;0;Froitzheim;04.1;;;090
52391;Antoniusstraße;1;47;2;40;Ginnick;05.1;;;090
52391;Auf dem Acker;1;5;;;Ginnick;05.1;;;090
52391;Auf dem Eulenberg;1;1;;;Sievernich;14.1;;;090
52391;Auf dem Goldberg;;;0;0;Gladbach;11.1;;;090
52391;Auf dem Heidchen;3;5;;;Froitzheim;04.1;;;090
52391;Auf dem Stein;1;9;2;20;Gladbach;11.1;;;090
