vote_district_id;name;address_street;address_nr;address_nr_note;note;zip;full_address;district;barrier_free
06.1;Bürgerhaus Soller;Marienstraße;7;;;52391;Vettweiß-Soller;;N
08.1;Grundschule Kelz;Michaelstraße;80;;;52391;Vettweiß-Kelz;;J
09.1;Grundschule Kelz;Michaelstraße;80;;;52391;Vettweiß-Kelz;;J
10.1;Bürgerhalle Lüxheim;Nikolausstraße;32;;;52391;Vettweiß-Lüxheim;;J
14.1;Jugendheim Sievernich;Pfarrer-Alef-Str.;11;;;52391;Vettweiß-Sievernich;;J
11.1;Pfarrheim Gladbach;Donatusweg;7;;;52391;Vettweiß;;J
07.1;Feuerwehrhaus Jakobwüllesheim;Veitzheimer Str.;2A;;;52391;Vettweiß;;J
02.1;Pfarrheim Vettweiß;Schulstraße;3;;;52391;Vettweiß;;J
03.1;Schulzentrum Vettweiß Pausenhalle;Tannenweg;1;;;52391;Vettweiß;;J
13.1;Vereinsheim am Bürgerhaus Dist;Kreuzstraße;;;;52391;Vettweiß;;J
04.1;Feuerwehrhaus Froitzheim;Martinusstraße;31;;;52391;Vettweiß;;J
01.1;Studienseminar (Eingang -Im Kamp-);Schulstraße;12;;;52391;Vettweiß;;J
12.1;Pfarrheim Müddersheim;Amandusstraße;38;;;52391;Vettweiß;;J
05.1;Jugendheim Ginnick;Kirchgasse;1;;;52391;Vettweiß;;J
