zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
53919;Adelheidstraße;1;3;2;12;Weilerswist;002.1;;;92
53919;Adlerweg;1;21;2;16;Weilerswist;007.1;;;92
53919;Adolf-Dasbach-Straße;5;17;4;16;Weilerswist;001.1;;;92
53919;Adolf-Dasbach-Straße;;17;4;16;Weilerswist;001.1;;;92
53919;Ahrstraße;5;23;4;24;Weilerswist;004.1;;;92
53919;Am Alten Sportplatz;1;11;2;36;Weilerswist;007.1;;;92
53919;Am Bendenpütz;7;13;;;Weilerswist;010.1;;;92
53919;Am Brenter Fließ;1;9;2;12;Weilerswist;005.1;;;92
53919;Am Dinghaus;1;15;2;12;Weilerswist;001.1;;;92
53919;Am Ginsterberg;1;9;;;Weilerswist;007.1;;;92
53919;Am Klarenhof;;;2;36;Weilerswist;006.1;;;92
53919;Am Lindchen;1;17;2;10;Weilerswist;010.1;;;92
53919;Am Lohgraben;1;9;2;20;Weilerswist;010.1;;;92
53919;Am Swisterberg;;;4;26;Weilerswist;001.1;;;92
53919;Amselweg;1;15;4;20;Weilerswist;001.1;;;92
53919;An der Römervilla;1;3;2;18;Weilerswist;006.1;;;92
53919;Angelsteiner Straße;1;13;2;18;Weilerswist;010.1;;;92
53919;Anton-Schell-Straße;1;21;2;28;Weilerswist;001.1;;;92
53919;Apolloniagasse;1;5;2;4;Weilerswist;010.1;;;92
53919;Auf dem Brand;3;5;2;8;Weilerswist;010.1;;;92
53919;Auf dem Driesch;1;17;2;24;Weilerswist;010.1;;;92
53919;Auf dem Höstert;;;2;6;Weilerswist;001.1;;;92
53919;Auf dem Köll;1;9;2;6;Weilerswist;010.1;;;92
53919;Auf dem Rübenkämpchen;1;15;;;Weilerswist;006.1;;;92
53919;Auf der Hochfahrt;1;39;2;26;Weilerswist;001.1;;;92
53919;Azaleenweg;1;1;2;16;Weilerswist;001.1;;;92
53919;Bachstraße;1;37;8;102;Weilerswist;002.1;;;92
53919;Bahnhofsallee;1;35;2;20;Weilerswist;004.1;;;92
53919;Barbarastraße;3;25;2;18;Weilerswist;001.1;;;92
53919;Beethovenstraße;1;19;2;18;Weilerswist;004.1;;;92
53919;Bendenstraße;1;5;2;14;Weilerswist;010.1;;;92
53919;Bergstraße;1;63;6;70;Weilerswist;007.1;;;92
53919;Berliner Straße;1;55;2;50;Weilerswist;002.1;;;92
53919;Bernhard-Thywissen-Straße;;;6;14;Weilerswist;003.1;;;92
53919;Billiger Straße;3;3;2;8;Weilerswist;009.1;;;92
53919;Birkenweg;1;19;;;Weilerswist;001.1;;;92
53919;Birnbaumweg;3;7;4;14;Weilerswist;003.1;;;92
53919;Blankenheimer Straße;11;45;6;48;Weilerswist;009.1;;;92
53919;Bliesheimer Straße;1;1;;;Weilerswist;002.1;;;92
53919;Blumenstraße;3;11;2;20;Weilerswist;006.1;;;92
53919;Bodenheimer Weg;3;25;6;10;Weilerswist;010.1;;;92
53919;Bongartsgasse;1;3;2;8;Weilerswist;006.1;;;92
53919;Bonner Straße;1;43;2;62;Weilerswist;004.1;;;92
53919;Bonner Straße;;;66;70;Weilerswist;003.1;;;92
53919;Borrer Straße;;;6;12;Weilerswist;006.1;;;92
53919;Brabanter Straße;1;77;8;72;Weilerswist;010.1;;;92
53919;Bremptergasse;1;23;2;12;Weilerswist;006.1;;;92
53919;Breslauer Straße;1;9;2;30;Weilerswist;005.1;;;92
53919;Broicher Straße;1;17;2;2;Weilerswist;009.1;;;92
53919;Bröhlpfad;1;7;;;Weilerswist;006.1;;;92
53919;Brügger Weg;1;11;2;6;Weilerswist;010.1;;;92
53919;Brüsseler Straße;1;37;2;66;Weilerswist;010.1;;;92
53919;Buchenweg;1;19;;;Weilerswist;001.1;;;92
53919;Burg Kühlseggen;;;0;0;Weilerswist;001.1;;;92
53919;Burgstraße;1;43;2;44;Weilerswist;002.1;;;92
53919;Bäckerweg;;;2;2;Weilerswist;008.1;;;92
53919;Dahlemer Straße;1;9;2;8;Weilerswist;009.1;;;92
53919;Daniel-Wierz-Straße;1;15;2;16;Weilerswist;003.1;;;92
53919;Danziger Straße;1;5;2;6;Weilerswist;005.1;;;92
53919;Derkumer Straße;3;11;;;Weilerswist;010.1;;;92
53919;Deutscher Platz;1;5;;;Weilerswist;004.1;;;92
53919;Diefentaler Hof;;;0;0;Weilerswist;010.1;;;92
53919;Dietrich-Bonhoeffer-Str.;;;2;4;Weilerswist;005.1;;;92
53919;Dobschleider Straße;;;10;10;Weilerswist;001.1;;;92
53919;Donaustraße;1;49;2;30;Weilerswist;002.1;;;92
53919;Dr.-Franz-Schorn-Straße;1;49;2;32;Weilerswist;003.1;;;92
