zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
57482;Abt-Luke-Straße;1;5;2;4;Schönau;012.1;;;149
57482;Abt-Maurus-Kaufmann-Weg;3;5;2;4;Elben;006.2;;;149
57482;Adenauerstraße;1;29;2;36;Altenhof;011.1;;;149
57482;Adlerweg;1;15;2;28;Hünsborn;008.1;;;149
57482;Agathastraße;1;15;2;16;Möllmicke;004.1;;;149
57482;Ahornweg;1;9;2;10;Gerlingen;006.1;;;149
57482;Alte Feld;1;1;;;Altenhof;011.1;;;149
57482;Alte Gartenstraße;1;13;4;8;Dörnscheid;014.2;;;149
57482;Alte Schulstraße;1;3;2;4;Hillmicke;007.1;;;149
57482;Altenhofer Weg;1;1;6;6;Wenden;003.1;;;149
57482;Alter Amtsweg;;;8;16;Wenden;003.1;;;149
57482;Alter Amtsweg;1;7;;;Wenden;001.1;;;149
57482;Alter Kirchweg;1;13;4;12;Wenden;002.1;;;149
57482;Alter Schützenplatz;1;9;2;24;Wenden;002.1;;;149
57482;Alter Weg;19;37;8;38;Hillmicke;007.1;;;149
57482;Am Backes;1;13;2;14;Heid;013.2;;;149
57482;Am Baumhof;1;13;4;8;Gerlingen;005.1;;;149
57482;Am Berge;1;23;2;6;Wenden;002.1;;;149
57482;Am Bruch;1;5;2;6;Ottfingen;016.1;;;149
57482;Am Buchhagen;9;35;2;42;Möllmicke;004.1;;;149
57482;Am Daßenborn;3;13;20;20;Hünsborn;008.1;;;149
57482;Am Ehrenmal;1;5;2;2;Ottfingen;016.1;;;149
57482;Am Elsenfeld;1;11;4;10;Möllmicke;004.1;;;149
57482;Am Fockenberg;3;7;4;6;Hillmicke;007.1;;;149
57482;Am Friedhof;;;2;4;Hünsborn;008.1;;;149
57482;Am Hammer;1;9;2;8;Hünsborn;008.1;;;149
57482;Am Hammergraben;5;5;;;Gerlingen;005.1;;;149
57482;Am Hammerwäldchen;7;23;8;8;Wenden;002.1;;;149
57482;Am Hossenhan;1;9;2;8;Hünsborn;008.1;;;149
57482;Am Härdtchen;1;3;;;Wenden;003.1;;;149
57482;Am Kattenzahl;3;3;2;20;Wenden;003.1;;;149
57482;Am Kindergarten;1;5;4;14;Schönau;012.1;;;149
57482;Am Kirchplatz;1;9;2;6;Wenden;003.1;;;149
57482;Am Knippchen;15;23;2;16;Heid;013.2;;;149
57482;Am Knippstein;1;15;8;14;Ottfingen;016.1;;;149
57482;Am Löhkopf;1;71;4;58;Ottfingen;015.1;;;149
57482;Am Nocken;1;5;4;28;Hillmicke;007.1;;;149
57482;Am Rehberg;3;25;2;16;Möllmicke;004.1;;;149
57482;Am Schlegelsberg;23;23;12;12;Wenden;001.1;;;149
57482;Am Schützenplatz;15;15;;;Heid;013.2;;;149
57482;Am Sonnenhang;1;27;2;28;Schönau;012.1;;;149
57482;Am Umpern;1;9;4;18;Altenhof;011.1;;;149
57482;Am Walde;1;7;2;8;Rothenborn;013.1;;;149
57482;Am Weiher;11;11;2;14;Altenhof;011.1;;;149
57482;Am Winterhagen;3;13;2;12;Altenhof;011.1;;;149
57482;Am alten Steinbruch;1;7;4;6;Wenden;003.1;;;149
57482;Amselweg;1;7;2;14;Wenden;001.1;;;149
57482;An der Broke;1;7;;;Heid;013.2;;;149
57482;An der Haardt;3;7;2;4;Altenhof;011.1;;;149
57482;An der Helle;1;3;20;22;Altenwenden;012.1;;;149
57482;An der Hude;1;3;10;10;Wenden;003.1;;;149
57482;An der Onsel;1;25;2;44;Ottfingen;015.1;;;149
57482;An der Schmette;1;3;2;2;Heid;013.2;;;149
57482;An der Schrötel;;;2;10;Elben;006.2;;;149
57482;An der Steinkuhle;5;5;4;8;Hünsborn;009.1;;;149
57482;An der Waare;1;11;2;10;Ottfingen;016.1;;;149
57482;Anne-Frank-Straße;7;9;2;10;Schönau;012.1;;;149
57482;Arnoldistraße;1;31;2;36;Wenden;001.1;;;149
57482;Auf dem Hang;3;25;6;10;Brün;014.4;;;149
57482;Auf dem Kreuz;3;11;2;12;Ottfingen;015.1;;;149
57482;Auf dem Ohl;21;21;;;Gerlingen;005.1;;;149
57482;Auf dem Stein;1;21;2;10;Gerlingen;005.1;;;149
57482;Auf den Wieden;1;13;4;16;Hillmicke;007.1;;;149
57482;Auf der Burg;13;33;12;22;Schönau;012.1;;;149
