zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
50389;Aachener Straße;1;79;12;142;Wesseling;15;;;92
50389;Ahornweg;15;15;2;6;Wesseling;19;;;92
50389;Ahrstraße;1;59;;;Wesseling;06;;;92
50389;Akazienweg;1;17;2;14;Wesseling;19;;;92
50389;Albert-Einstein-Straße;5;5;2;22;Wesseling;02;;;92
50389;Albert-Schweitzer-Straße;1;29;;;Wesseling;13;;;92
50389;Alemannenweg;11;27;18;26;Wesseling;07;;;92
50389;Alfons-Müller-Platz;1;3;;;Wesseling;02;;;92
50389;Alfterstraße;19;45;2;54;Wesseling;11;;;92
50389;Allerstraße;1;11;2;10;Wesseling;17;;;92
50389;Am Bungert;1;41;16;22;Wesseling;03;;;92
50389;Am Dickopsbach;1;27;2;16;Wesseling;16;;;92
50389;Am Eulenflug;1;15;2;20;Wesseling;08;;;92
50389;Am Felde;1;13;2;16;Wesseling;08;;;92
50389;Am Forst;1;19;2;24;Wesseling;08;;;92
50389;Am Hagen;3;11;4;12;Wesseling;08;;;92
50389;Am Helmeshof;;;2;14;Wesseling;18;;;92
50389;Am Hohen Rain;3;63;4;64;Wesseling;07;;;92
50389;Am Markt;17;21;4;30;Wesseling;01;;;92
50389;Am Mieler Berg;3;11;4;14;Wesseling;08;;;92
50389;Am Neuen Garten;1;33;2;34;Wesseling;01;;;92
50389;Am Nordbahnhof;1;47;2;42;Wesseling;19;;;92
50389;Am Palmersdorfer Bach;1;35;2;38;Wesseling;18;;;92
50389;Am Schmettenstück;3;47;2;48;Wesseling;15;;;92
50389;Am Sioniterhof;1;43;4;66;Wesseling;02;;;92
50389;Am Walde;1;15;;;Wesseling;05;;;92
50389;Am Zinnwald;3;5;2;2;Wesseling;07;;;92
50389;Amselweg;1;73;2;58;Wesseling;09;;;92
50389;An St. Germanus;5;17;2;8;Wesseling;02;;;92
50389;An den Benden;3;41;26;38;Wesseling;18;;;92
50389;An der Alten Mühle;3;9;2;60;Wesseling;17;;;92
50389;An der Elsmaar;15;19;2;64;Wesseling;16;;;92
50389;An der Meile;3;7;2;6;Wesseling;08;;;92
50389;Anton-Engels-Straße;15;95;22;30;Wesseling;10;;;92
50389;Antoniusstraße;1;11;2;6;Wesseling;04;;;92
50389;Asbergweg;;;2;6;Wesseling;06;;;92
50389;Asternweg;;;4;8;Wesseling;17;;;92
50389;Auf dem Eichholzer Acker;1;55;;;Wesseling;10;;;92
50389;Auf dem Galberg;5;41;2;48;Wesseling;17;;;92
50389;Auf dem Mühlenberg;;;2;34;Wesseling;03;;;92
50389;Auf dem Radacker;1;47;4;44;Wesseling;08;;;92
50389;Auf dem Rheinberg;3;13;14;20;Wesseling;01;;;92
50389;Auf dem Sonnenberg;1;31;12;44;Wesseling;02;;;92
50389;Auf der Trift;1;61;4;38;Wesseling;07;;;92
50389;Auf der Trift;123;207;40;150;Wesseling;08;;;92
50389;Bachstelzenweg;;;2;4;Wesseling;09;;;92
50389;Bachstraße;1;41;2;46;Wesseling;17;;;92
50389;Badorfer Straße;1;11;2;12;Wesseling;11;;;92
50389;Bahnhofstraße;1;41;2;42;Wesseling;02;;;92
50389;Balderichstraße;5;11;2;14;Wesseling;01;;;92
