vote_district_id;name;address_street;address_nr;address_nr_note;note;zip;full_address;district;barrier_free
02;Städtische Kindertageseinrichtung Regenbogen;Bonner Straße;90;;;50389;Wesseling;;J
03;Kath. Kindertageseinrichtung St. Josef;Kastanienweg;58;;;50389;Wesseling;;J
04;Goetheschule;Wilhelmstraße;;;;50389;Wesseling;;J
09;Kath. Kindertageseinrichtung St. Andreas II;Cranachstraße;65;;;50389;Wesseling;;J
10;Kath. Kindertageseinrichtung St. Andreas II;Cranachstraße;65;;;50389;Wesseling;;J
11;Grundschulen Wesseling-Keldenich Zugang über Friedhofsweg;Schulstraße;5;;;50389;Wesseling;;J
12;Grundschulen Wesseling-Keldenich Zugang über Friedhofsweg;Schulstraße;5;;;50389;Wesseling;;J
16;Grundschulen Wesseling-Keldenich Zugang über Friedhofsweg;Schulstraße;5;;;50389;Wesseling;;J
13;Kath. Kindertageseinrichtung St. Andreas I;In der Flecht;53;;;50389;Wesseling;;J
14;Städtische Kindertageseinrichtung Villa Sonnenschein;Im Blauen Garn;80;;;50389;Wesseling;;J
17;AWO-Kindertageseinrichtung Tummelkiste;Bachstraße;22;;;50389;Wesseling;;N
18;Brigidaschule Berzdorf;Hauptstraße;101;;;50389;Wesseling;;J
19;Brigidaschule Berzdorf;Hauptstraße;101;;;50389;Wesseling;;J
06;Städtische Kindertageseinrichtung Am Rheinbogen;Taunusstraße;1;;;50389;Wesseling;;J
05;Städtische Kindertageseinrichtung Villa Kunterbunt;Jahnstraße;42;;;50389;Wesseling;;J
15;Städtische Kindertageseinrichtung Wilde Wiese;Im Stockental;24;;;50389;Wesseling;;J
08;Dankeskirche;Waldstraße;103;;;50389;Wesseling;;J
01;CBT-Wohnhaus St. Lucia;Pontivystraße;10;;;50389;Wesseling;;J
07;Kath. Kindertageseinrichtung St. Thomas Apostel;Rheinstraße;196;;;50389;Wesseling;;J
