zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
57234;Ackerstraße;1;19;4;16;Niederdielfen;004.1;;;148
57234;Adolf-Saenger-Weg;1;11;4;12;Niederdielfen;004.1;;;148
57234;Ahornstraße;1;9;2;8;Niederdielfen;004.1;;;148
57234;Albert-Schweitzer-Straße;1;11;2;14;Wilnsdorf;014.1;;;148
57234;Alleestraße;1;19;2;42;Wilgersdorf;012.1;;;148
57234;Alte Dorfstraße;1;3;2;18;Rinsdorf;008.1;;;148
57234;Alter Prozessionsweg;;;4;4;Rudersdorf;010.1;;;148
57234;Am Aelkerswald;1;9;6;6;Rinsdorf;008.1;;;148
57234;Am Anschenkel;1;17;2;6;Rinsdorf;008.1;;;148
57234;Am Aspenrain;3;3;2;6;Wilden;011.1;;;148
57234;Am Backhaus;3;3;;;Rudersdorf;010.1;;;148
57234;Am Bahndamm;3;3;2;2;Flammersbach;002.1;;;148
57234;Am Bahndamm;11;17;;;Anzhausen;001.1;;;148
57234;Am Biehl;1;9;;;Rudersdorf;009.1;;;148
57234;Am Brennerfeld;1;5;2;8;Obersdorf;007.1;;;148
57234;Am Buchen;1;27;2;34;Niederdielfen;004.1;;;148
57234;Am Bösenberg;1;5;4;18;Niederdielfen;004.1;;;148
57234;Am Dillberg;1;17;2;18;Oberdielfen;006.1;;;148
57234;Am Eichborn;1;15;2;18;Wilgersdorf;013.1;;;148
57234;Am Eisenacker;1;29;2;16;Wilgersdorf;012.1;;;148
57234;Am Gorn;1;9;2;16;Obersdorf;007.1;;;148
57234;Am Grimberg;1;17;2;30;Niederdielfen;005.1;;;148
57234;Am Gräbenwald;1;19;6;8;Obersdorf;007.1;;;148
57234;Am Haardtchen;1;5;2;8;Wilnsdorf;015.1;;;148
57234;Am Haardtchen;;;8;14;Wilnsdorf;016.1;;;148
57234;Am Hainchen;1;17;2;2;Wilnsdorf;015.1;;;148
57234;Am Hang;1;9;2;8;Rudersdorf;009.1;;;148
57234;Am Hilchenbach;;;2;4;Wilden;011.1;;;148
57234;Am Hofacker;3;11;2;18;Wilgersdorf;012.1;;;148
57234;Am Hundsberg;1;25;4;6;Wilgersdorf;012.1;;;148
57234;Am Hunscheid;13;15;2;12;Rudersdorf;010.1;;;148
57234;Am Hönig;1;21;2;28;Anzhausen;001.1;;;148
57234;Am Immelsbach;1;7;2;12;Wilgersdorf;012.1;;;148
57234;Am Jägeracker;1;9;2;10;Wilnsdorf;015.1;;;148
57234;Am Kirchweg;1;1;2;14;Oberdielfen;006.1;;;148
57234;Am Kritzelgarten;1;7;2;6;Wilnsdorf;015.1;;;148
57234;Am Kröken;1;21;6;20;Anzhausen;001.1;;;148
57234;Am Lehnstück;1;33;2;22;Wilgersdorf;013.1;;;148
57234;Am Marienhain;1;41;2;42;Obersdorf;007.1;;;148
57234;Am Mathildenhof;1;1;2;6;Obersdorf;007.1;;;148
57234;Am Mühlenberg;1;41;8;34;Rudersdorf;010.1;;;148
57234;Am Oberen Johannes;3;19;2;12;Obersdorf;007.1;;;148
57234;Am Obstgarten;1;9;2;16;Anzhausen;001.1;;;148
